Davis_Manor_Center.f;1851:3.570026793632964E-4
Academic_Surge.f;3068:3.5692568422422824E-4
South_Hall.f;643:3.5618501913817327E-4
Central_Coast.f;4427:3.5526500836991686E-4
Alcohol.f;93:3.545590673215869E-4
SMART.f;2562:3.538545749433573E-4
UC_Santa_Barbara.f;8267:3.52094425741194E-4
Meat_Lab.f;7968:3.508399428791162E-4
Legal_Services.f;155:3.5009659860990626E-4
1998.f;880:3.5008158227695227E-4
1915.f;529:3.500244655715266E-4
1993.f;875:3.492089230193125E-4
Wildhorse.f;5691:3.4799732199589036E-4
1907.f;512:3.479632003043832E-4
Patwin.f;10024:3.469503970653192E-4
WiFi_Hot_Spots.f;170:3.454717601193747E-4
Student_Housing.f;819:3.446041503056589E-4
Davis_City_Council.f;1758:3.4286676795313744E-4
I_80.f;3191:3.427506498511739E-4
County_Roads.f;5936:3.404068567483219E-4
Yolo_Bypass.f;1451:3.403454581214264E-4
Social_Sciences_and_Humanities_Building.f;275:3.40062362023455E-4
Outskirts.f;193:3.391415914019988E-4
Davis_Politics.f;110:3.389412771903414E-4
The_Avid_Reader.f;7334:3.3882122034694506E-4
West_Campus.f;7698:3.37517521267603E-4
wl.f;3028:3.3734164739660557E-4
Oakland_A%27s.f;6245:3.36115323219743E-4
Grad_Students.f;3063:3.348596517104812E-4
UC_Davis_Medical_Center.f;2017:3.342542114965287E-4
University_Departments.f;6177:3.3397734199997495E-4
1916.f;537:3.3332711092303065E-4
La_Rue_Road.f;3655:3.329270365874031E-4
Save_Mart.f;2813:3.326941179080412E-4
Wal-Mart.f;9010:3.312988993008388E-4
Yolo_Causeway.f;554:3.3081919778125366E-4
Choice_Voting.f;1058:3.2871819352757236E-4
Sophia%27s_Thai_Kitchen.f;971:3.2775569900663805E-4
Davis_Dollars.f;8108:3.272239259876721E-4
City_Hall.f;1902:3.2710594419121366E-4
Lake_Spafford.f;2627:3.270711079564557E-4
Bike_Signal.f;6837:3.262218013430801E-4
J_Street.f;343:3.259088661047698E-4
Chiles_Road.f;2949:3.2515551321837317E-4
Places_to_Walk_or_Run.f;5821:3.2414563125660696E-4
Valley_Oak_Elementary_School.f;669:3.2347015514296436E-4
Winter.f;11121:3.217513108114696E-4
Davis_Bike_Loop.f;1102:3.2098269305325713E-4
Tattoos.f;15486:3.20527619159661E-4
UC_Regents.f;671:3.1877212823639366E-4
Esparto.f;8015:3.1723039407675256E-4
The_Domes.f;733:3.170397266716429E-4
1972.f;716:3.1689179651993E-4
Dam_Haus.f;7065:3.166862392674426E-4
Stevenson_Bridge.f;589:3.166732183022796E-4
Borders.f;924:3.163361027144351E-4
Chiles_Mansion.f;519:3.1550839293197465E-4
Bike_Circle.f;3619:3.149741283789528E-4
1918.f;531:3.142970800007975E-4
Cell_Phone_Towers.f;8832:3.1341987712898875E-4
East_8th_Street.f;1849:3.1226134067723115E-4
ArtAbout.f;5447:3.1211789683546656E-4
Sacramento_River.f;6780:3.1159062387220915E-4
Explorit_Science_Center.f;792:3.110954201848225E-4
CVS.f;2826:3.100987164568379E-4
Lake_Boulevard.f;5319:3.0921411927328047E-4
ASUCD_Vice_President.f;1181:3.089902560727723E-4
Biomedical_Engineering.f;6927:3.089687137700334E-4
Mobile_Phones.f;8838:3.08943582445736E-4
Loyola_Drive.f;1380:3.0880573190980815E-4
Death_Star.f;2891:3.0794712249898235E-4
Redrum_Burger.f;967:3.077993014144466E-4
Geography.f;50:3.0729724112159393E-4
California_Raptor_Center.f;6191:3.067124364604343E-4
County_Road_29.f;6670:3.056317376816545E-4
Agrarian_Effort.f;3696:3.055351088790379E-4
I_Love_Davis.f;4069:3.0469279252763067E-4
Meyer_Hall.f;3707:3.045737386444933E-4
Sodexho.f;1544:3.036595042334908E-4
1986.f;763:3.0352333304910337E-4
1914.f;535:3.0334171532029084E-4
Fire_Department.f;56:3.0300285411370904E-4
Weather.f;131:3.0230175149605326E-4
Pence_Gallery.f;3144:3.019920601193688E-4
West_Village.f;278:3.0195311119522765E-4
Davisville_Land_Company.f;436:3.0152853609439724E-4
Trader_Joe%27s.f;1180:3.0123311903754104E-4
Board_of_Education.f;899:3.00786566379607E-4
Davis_Citizen_of_the_Year.f;5844:3.001125191577626E-4
Community_Services_Department.f;5412:3.000473621382758E-4
Campus_Lecture_Halls.f;260:2.996605867214616E-4
Cows.f;174:2.9934214026013925E-4
The_Silo.f;2835:2.9857135596697624E-4
N_Street_Cohousing.f;837:2.981454921789305E-4
Sierra_Club.f;3198:2.9767183882190484E-4
Quessenberry%27s_Drug_Store.f;9673:2.97408221466866E-4
College_of_Biological_Sciences.f;1328:2.974057068253684E-4
Davis_Police_Department_Trading_Cards.f;11593:2.9702710428998713E-4
Davis_Water_Wells.f;11951:2.968925706727454E-4
Castilian_Dining_Commons.f;8438:2.9669789384072524E-4
Kerr_Hall.f;1407:2.9523104040866737E-4
South_Campus.f;8258:2.9487142085062967E-4
Professors.f;4622:2.9429317854067025E-4
TAPS.f;2079:2.93739634692906E-4
1908.f;509:2.936636988001314E-4
1901.f;517:2.929354625867493E-4
Cache_Creek.f;3394:2.926733698044406E-4
Highway_50.f;7894:2.9261399293414213E-4
Sacramento_County.f;5591:2.918594882470707E-4
Winter_2005_ASUCD_Election.f;2033:2.9101436208324265E-4
1979.f;717:2.9027118053794943E-4
Explore.f;7175:2.8992776828954954E-4
ACE_Hardware.f;1588:2.898170780158524E-4
Bike_Barn.f;2199:2.8962088221896496E-4
Computer_Science.f;8064:2.881098441672659E-4
AS_Papers.f;2771:2.880879379345462E-4
County_Road_98.f;4569:2.879781615709466E-4
Rental_Housing_Guide.f;142:2.879665376150848E-4
Discounts_and_Freebies.f;41:2.8794751591739164E-4
Graduate_Students.f;1509:2.8752173737782633E-4
Property_Values.f;8518:2.874946080896739E-4
1964.f;683:2.8737855658594804E-4
KDRT.f;1235:2.8678127355657394E-4
Fairfield.f;5227:2.866544234856162E-4
Mathematics.f;597:2.859590569884166E-4
Chipotle.f;3427:2.8581335466578204E-4
1976.f;720:2.8537784242410906E-4
Woodpeckers.f;6969:2.85242671128794E-4
Sproul_Hall.f;2090:2.8479531058828986E-4
Village_Bakery.f;1439:2.841376367318331E-4
Avant_Garde_Studio.f;4715:2.8400074044424657E-4
Bookstores.f;120:2.8317500408980313E-4
Bicycle_News_Articles.f;6652:2.831603175372823E-4
Marijuana.f;22:2.830227548183065E-4
Veterinary_Medical_Teaching_Hospital.f;8857:2.8286438113505366E-4
Davis_Well_27.f;11958:2.82346349846114E-4
Movie_Theaters.f;7578:2.8202909933681085E-4
Bike_Sculptures.f;6657:2.8163902013820385E-4
Bistro_33.f;3340:2.815611618607015E-4
1969.f;682:2.8098396823373185E-4
Valley-Wise_Garden.f;2984:2.8085428234126395E-4
